phon,cgram,freqfilms2,freqlivres,p_cvcv,syll
opyl@s,NOM,0.54,3.24,VCVCVC,o-py-l@s
aRaS2z,NOM,0,0.07,VCVCVC,a-Ra-S2z
yRineR,ADJ,0.98,0.14,VCVCVC,y-Ri-neR
ad5dOm,NOM,0.01,0.07,VCVCVC,a-d5-dOm
adeR@t,ADJ,0,0.14,VCVCVC,a-de-R@t
ekut2z,NOM,0,0.07,VCVCVC,e-ku-t2z
ytopik,ADJ,0.16,0.2,VCVCVC,y-to-pik
ilaR@t,ADJ,0.09,0.14,VCVCVC,i-la-R@t
@Zol2z,ADJ,0,0.07,VCVCVC,@-Zo-l2z
aleS@t,ADJ,0.29,0.61,VCVCVC,a-le-S@t
@gaZeR,VeR,0.06,2.3,VCVCVC,@-ga-ZeR
el*veR,VeR,0.07,1.76,VCVCVC,e-l*-veR
5k6beR,VeR,0,0.07,VCVCVC,5-k6-beR
amuRet,NOM,0.54,0.47,VCVCVC,a-mu-Ret
el*v2z,NOM,0.04,0,VCVCVC,e-l*-v2z
an6s9R,NOM,0.5,0.07,VCVCVC,a-n6-s9R
aRaS9R,NOM,0,0.27,VCVCVC,a-Ra-S9R
asasin,ADJ,0.27,0.27,VCVCVC,a-sa-sin
@kes9R,NOM,0.67,0.47,VCVCVC,@-ke-s9R
anOdik,ADJ,0.2,0,VCVCVC,a-nO-dik
@fizem,NOM,0.3,0.34,VCVCVC,@-fi-zem
5dolOR,ADJ,0.69,0.47,VCVCVC,5-do-lOR
omolOg,ADJ,0.01,0,VCVCVC,o-mo-lOg
eRitem,NOM,0.16,0,VCVCVC,e-Ri-tem
ematoz,NOM,0,0.07,VCVCVC,e-ma-toz
@tivOl,ADJ,0.14,0.07,VCVCVC,@-ti-vOl
elysid,VeR,0.1,0.2,VCVCVC,e-ly-sid
et5sel,VeR,0.78,0.61,VCVCVC,e-t5-sel
ab6d@t,ADJ,0.33,1.22,VCVCVC,a-b6-d@t
abataZ,NOM,0.02,0.14,VCVCVC,a-ba-taZ
@Zelys,NOM,0.8,1.28,VCVCVC,@-Ze-lys
yRineR,ADJ,0.28,0.2,VCVCVC,y-Ri-neR
2nolOg,NOM,0,0.14,VCVCVC,2-no-lOg
emotif,NOM,0.14,0.14,VCVCVC,e-mo-tif
aS*teR,VeR,0.06,0.95,VCVCVC,a-S*-teR
@baRas,VeR,1.14,1.42,VCVCVC,@-ba-Ras
ekym@t,ADJ,0,0.2,VCVCVC,e-ky-m@t
efasas,VeR,0,0.07,VCVCVC,e-fa-sas
omonim,NOM,0.04,0,VCVCVC,o-mo-nim
apatik,ADJ,0.06,0.14,VCVCVC,a-pa-tik
edikyl,NOM,0,0.07,VCVCVC,e-di-kyl
enymeR,VeR,0.51,0.68,VCVCVC,e-ny-meR
abutim,VeR,0,0.14,VCVCVC,a-bu-tim
evapOR,VeR,0.58,0.27,VCVCVC,e-va-pOR
amaR@t,NOM,0.02,0.27,VCVCVC,a-ma-R@t
ev@Zil,NOM,0.18,1.55,VCVCVC,e-v@-Zil
of@siv,NOM,0.21,0.34,VCVCVC,o-f@-siv
avokat,NOM,7.56,1.55,VCVCVC,a-vo-kat
efaR@t,ADJ,0.22,1.28,VCVCVC,e-fa-R@t
omel@d,NOM,0.14,0,VCVCVC,o-me-l@d
okyR@s,NOM,0.01,0.27,VCVCVC,o-ky-R@s
@pomyR,NOM,0.1,0.14,VCVCVC,@-po-myR
5syleR,ADJ,0.03,0.81,VCVCVC,5-sy-leR
ynanim,ADJ,1.77,4.66,VCVCVC,y-na-nim
abutiR,VeR,0,0.68,VCVCVC,a-bu-tiR
aleZ@s,NOM,1.61,1.35,VCVCVC,a-le-Z@s
adoseR,VeR,0,0.14,VCVCVC,a-do-seR
@tivOl,NOM,0.01,0,VCVCVC,@-ti-vOl
epinet,NOM,0,0.07,VCVCVC,e-pi-net
@meleR,VeR,0,0.14,VCVCVC,@-me-leR
@volam,VeR,0,0.07,VCVCVC,@-vo-lam
ak*dyk,NOM,0.21,0.34,VCVCVC,a-k*-dyk
otonom,NOM,0.26,0.14,VCVCVC,o-to-nom
anodin,ADJ,0.2,2.09,VCVCVC,a-no-din
asaZiR,VeR,0.15,0.41,VCVCVC,a-sa-ZiR
ekat6b,NOM,0,0.41,VCVCVC,e-ka-t6b
om6kyl,NOM,0.02,0.07,VCVCVC,o-m6-kyl
avalam,VeR,0,0.07,VCVCVC,a-va-lam
et5sel,NOM,2.71,7.91,VCVCVC,e-t5-sel
izabel,ADJ,1.85,0.47,VCVCVC,i-za-bel
agonik,NOM,0,0.07,VCVCVC,a-go-nik
amikal,NOM,0.08,1.55,VCVCVC,a-mi-kal
aRog@t,ADJ,1.53,1.01,VCVCVC,a-Ro-g@t
amyzet,NOM,0.03,0.61,VCVCVC,a-my-zet
aZitas,VeR,0,0.07,VCVCVC,a-Zi-tas
5sol@t,ADJ,0.03,0.47,VCVCVC,5-so-l@t
abatiR,VeR,0.03,0.95,VCVCVC,a-ba-tiR
5besil,ADJ,2.79,2.64,VCVCVC,5-be-sil
oRat9R,NOM,0.23,1.76,VCVCVC,o-Ra-t9R
@tuRaZ,NOM,3,10.68,VCVCVC,@-tu-RaZ
aS*tam,VeR,0,0.2,VCVCVC,a-S*-tam
aditif,ADJ,0.02,0,VCVCVC,a-di-tif
anonim,NOM,0.69,1.22,VCVCVC,a-no-nim
agiS9R,ADJ,0.06,0.07,VCVCVC,a-gi-S9R
oRikyl,NOM,0,0.07,VCVCVC,o-Ri-kyl
@Zol2z,NOM,0.02,0.07,VCVCVC,@-Zo-l2z
alym9R,NOM,0.07,0.07,VCVCVC,a-ly-m9R
od*Sos,NOM,0,0.2,VCVCVC,o-d*-Sos
aRivat,VeR,0.01,0.07,VCVCVC,a-Ri-vat
at*lam,VeR,0,0.07,VCVCVC,a-t*-lam
edit9R,NOM,1.37,3.45,VCVCVC,e-di-t9R
amat9R,NOM,5.53,7.16,VCVCVC,a-ma-t9R
av@taZ,VeR,0.58,0.74,VCVCVC,a-v@-taZ
afadis,VeR,0.01,0.07,VCVCVC,a-fa-dis
apaR@t,VeR,0.03,0.41,VCVCVC,a-pa-R@t
ezit@t,ADJ,0.32,5.88,VCVCVC,e-zi-t@t
